subclass,AAA,ACAd,ACAv,ACB,ACVII,AD,ADP,AHN,AId,AIp,AIv,AM,AMB,AN,AOB,AON,AP,APN,APr,AQ,ARH,ASO,AT,AUDd,AUDp,AUDpo,AUDv,AV,AVP,AVPV,Acs5,B,BA,BLA,BMA,BST,CA1,CA2,CA3,CB-unassigned,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,COPY,CP,CS,CTXsp-unassigned,CU,CUL,CUN,DCO,DEC,DG,DMH,DMX,DN,DP,DR,DT,DTN,ECT,ECU,ENTl,ENTm,EPd,EPv,EW,Eth,FC,FL,FN,FOTU,FRP,FS,GPe,GPi,GRN,GU,HATA,HPF-unassigned,HY-unassigned,I5,IA,IAD,IAM,IC,ICB,IF,IG,IGL,III,IIIn,IIn,ILA,IMD,IO,IP,IPN,IRN,ISN,IV,IVn,In,IntG,LA,LAV,LC,LD,LDT,LGd,LGv,LH,LHA,LIN,LING,LM,LP,LPO,LRN,LSc,LSr,LSv,LT,MA,MA3,MARN,MB-unassigned,MD,MDRN,ME,MEA,MEPO,MG,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MT,MV,MY-unassigned,NB,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NR,NTB,NTS,OLF-unassigned,OP,ORBl,ORBm,ORBvl,OT,OV,P-unassigned,P5,PA,PAA,PAG,PAL-unassigned,PAR,PARN,PAS,PB,PBG,PC5,PCG,PCN,PD,PDTg,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIL,PIR,PL,PMd,PMv,PN,PO,POL,POST,PP,PPN,PPT,PPY,PR,PRE,PRM,PRNc,PRNr,PRP,PS,PST,PSTN,PSV,PT,PVH,PVHd,PVT,PVa,PVi,PVp,PVpo,PYR,Pa4,Pa5,PeF,PoT,ProS,RCH,RE,RH,RL,RM,RN,RO,RPA,RPF,RPO,RR,RSPagl,RSPd,RSPv,RT,SAG,SBPV,SCH,SCO,SCm,SCs,SEZ,SF,SFO,SG,SGN,SH,SI,SIM,SLC,SLD,SMT,SNc,SNr,SO,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSp-un,SSs,STN,STR-unassigned,SUB,SUM,SUT,SUV,SubG,TEa,TH-unassigned,TMd,TMv,TR,TRN,TRS,TT,TU,UVU,V,V3-unassigned,V4-unassigned,V4r,VAL,VCO,VI,VII,VIIIn,VIIn,VISC,VISa,VISal,VISam,VISl,VISli,VISp,VISpl,VISpm,VISpor,VISrl,VL-unassigned,VLPO,VM,VMH,VMPO,VPL,VPLpc,VPM,VPMpc,VTA,VTN,VeCB,Vn,XII,Xi,Xn,ZI,arb,brain-unassigned,cbc,cbp,cc,chpl,cst,drt,epsc,fiber tracts-unassigned,lfbst,mfbc,mfsbshy,rust,scwm-unassigned,tsp,unassigned,x,y
001 CLA-EPd-CTX Car3 Glut,0,0,0,0,0,0,0,0,843,359,262,0,0,0,0,1,0,0,3,0,0,0,0,212,377,92,879,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1195,0,0,0,0,0,9,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,80,0,304,13,0,0,0,0,0,0,1,0,0,0,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,466,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,347,288,0,0,0,2777,0,1,0,0,0,0,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,46,0,109,60,111,5,0,77,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,12,0,0,225,0,0,0,0
002 IT EP-CLA Glut,0,23,48,0,0,0,0,0,350,654,277,0,0,0,0,336,0,0,10,0,0,0,0,13,26,9,67,0,0,0,0,0,0,33,39,0,20,0,0,0,0,0,0,1419,0,0,16,0,0,57,0,136,0,0,0,0,0,0,0,0,0,61,0,0,0,161,0,350,1,972,213,0,0,0,0,0,0,3,0,0,0,0,473,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,77,29,41,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,705,44,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,51,7,0,1,1,328,0,14,1,0,0,0,0,115,0,0,0,40,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,461,0,3,1,20,15,22,1,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,658,0,0,0,0,0,0,93,0,0,73,0,2,0,0
003 L5/6 IT TPE-ENT Glut,11,60,183,0,0,0,0,0,751,421,144,0,0,0,0,6,0,0,73,0,0,0,0,18,45,42,297,0,0,0,0,0,0,404,33,0,1,0,0,0,6,0,0,22,0,0,0,2,0,7,0,16,0,0,0,0,0,2,0,0,0,6,0,0,0,997,0,2065,747,10,128,0,0,0,0,0,0,34,0,0,0,0,315,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,296,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,199,263,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,18,0,88,236,118,0,0,0,0,0,12,0,1,26,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,188,521,0,0,0,0,0,10,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,92,80,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,274,0,3,24,0,0,0,0,1078,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,2,0,6,26,32,28,254,16,285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,16,0,0,6,0,6,0,0
004 L6 IT CTX Glut,0,1966,1641,0,0,0,0,0,1203,29,126,0,0,0,0,1,0,0,200,0,0,0,0,456,875,261,502,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,134,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,35,0,10,33,0,1,0,0,0,0,0,0,422,0,0,0,0,519,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7186,6809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1555,646,702,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1564,0,0,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,743,906,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3530,1508,4859,1740,405,2385,705,3779,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,709,218,389,672,279,3136,111,294,226,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,29,0,0,402,0,2,0,0
005 L5 IT CTX Glut,0,1196,2322,0,0,0,0,0,118,3,22,0,0,0,0,0,0,0,70,0,0,0,0,203,256,151,79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,31,0,0,0,0,0,0,0,0,18,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3660,2858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,490,102,221,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,179,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249,2572,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,1076,1161,631,375,1054,305,1070,0,0,3,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,747,160,437,381,117,1921,164,279,73,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,7,0,0,0,0
006 L4/5 IT CTX Glut,7,2568,2564,0,0,0,0,0,2560,276,1076,0,0,0,0,3,0,0,408,0,0,0,0,1526,3354,752,1959,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,467,0,52,4,1,0,0,0,0,0,0,0,185,0,0,0,0,1341,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,483,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10232,11410,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,82,0,5181,1458,2721,1,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,34,2260,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2968,1961,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15859,3685,13604,6551,1616,6181,1905,13412,0,2,2,0,0,0,0,2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593,2614,805,1299,2352,974,16551,1161,1314,1019,1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,7,0,0,0,0,6,0,0
007 L2/3 IT CTX Glut,0,3002,3497,0,0,0,0,0,3325,1421,1289,0,0,0,35,59,0,0,22,0,0,0,0,1343,2275,719,2050,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,1803,0,193,5,0,15,0,0,0,0,0,0,16,0,0,0,0,1487,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,873,0,0,0,0,0,0,0,0,43,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11140,13748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,1555,1429,3028,0,0,0,0,1,20,0,0,1,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,448,1668,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3537,2917,802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5438,2074,5570,1827,1433,3518,1143,7606,0,0,2,0,0,0,0,4774,0,0,0,51,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,1708,2290,599,1672,1630,799,9865,950,1278,1375,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,12,0,0,16,0,94,0,0
008 L2/3 IT ENT Glut,0,0,0,0,0,0,0,0,9,20,10,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,10,13,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,227,0,6647,8740,4,31,0,0,0,0,0,0,0,0,0,0,0,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,10,0,0,0,0,0,5,0,0,400,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,42,0,0,0,343,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
009 L2/3 IT PIR-ENTl Glut,1,0,0,4,0,0,0,0,141,1731,633,0,0,0,0,2283,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,421,145,0,11,0,0,0,0,0,0,6,0,0,56,707,0,377,0,288,0,0,0,0,0,0,0,0,0,6,0,0,0,118,0,4336,103,142,622,0,0,0,0,0,0,5,1,0,0,0,55,0,0,0,0,44,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1111,0,39,8,32,0,0,0,0,30,1566,0,1,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,36347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,35,1,0,0,0,0,15,0,0,0,1128,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,20,0,0,0,0,29,0,0
010 IT AON-TT-DP Glut,0,0,39,37,0,0,0,0,6,18,52,0,0,0,51,15627,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,2,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,15,1,29,17,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,132,0,0,0,0,0,0,0,0,328,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4064,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,0,40,87,38,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,112,0,0,0,0,0,4,0,0,0,17,0,0,3869,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,2,0,0,0,0,0,0,0
