class,AAA,ACAd,ACAv,ACB,ACVII,AD,ADP,AHN,AId,AIp,AIv,AM,AMB,AN,AOB,AON,AP,APN,APr,AQ,ARH,ASO,AT,AUDd,AUDp,AUDpo,AUDv,AV,AVP,AVPV,Acs5,B,BA,BAC,BLA,BMA,BST,CA1,CA2,CA3,CB-unassigned,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,COPY,CP,CS,CTXsp-unassigned,CU,CUL,CUN,DCO,DEC,DG,DMH,DMX,DN,DP,DR,DT,DTN,ECT,ECU,ENTl,ENTm,EPd,EPv,EW,Eth,FC,FL,FN,FOTU,FRP,FS,GPe,GPi,GR,GRN,GU,HATA,HPF-unassigned,HY-unassigned,I5,IA,IAD,IAM,IC,ICB,IF,IG,IGL,III,IIIn,IIn,ILA,IMD,IO,IP,IPN,IRN,ISN,IV,IVn,In,IntG,LA,LAV,LC,LD,LDT,LGd,LGv,LH,LHA,LIN,LING,LM,LP,LPO,LRN,LSc,LSr,LSv,LT,MA,MA3,MARN,MB-unassigned,MD,MDRN,ME,MEA,MEPO,MG,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MT,MV,MY-unassigned,NB,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NR,NTB,NTS,OLF-unassigned,OP,ORBl,ORBm,ORBvl,OT,OV,P-unassigned,P5,PA,PAA,PAG,PAL-unassigned,PAR,PARN,PAS,PB,PBG,PC5,PCG,PCN,PD,PDTg,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIL,PIR,PL,PMd,PMv,PN,PO,POL,POST,PP,PPN,PPT,PPY,PR,PRE,PRM,PRNc,PRNr,PRP,PS,PST,PSTN,PSV,PT,PVH,PVHd,PVT,PVa,PVi,PVp,PVpo,PYR,Pa4,Pa5,PeF,PoT,ProS,RCH,RE,RH,RL,RM,RN,RO,RPA,RPF,RPO,RR,RSPagl,RSPd,RSPv,RT,SAG,SBPV,SCH,SCO,SCm,SCs,SEZ,SF,SFO,SG,SGN,SH,SI,SIM,SLC,SLD,SMT,SNc,SNr,SO,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSp-un,SSs,STN,STR-unassigned,SUB,SUM,SUT,SUV,SubG,TEa,TH-unassigned,TMd,TMv,TR,TRN,TRS,TT,TU,UVU,V,V3-unassigned,V4-unassigned,V4r,VAL,VCO,VI,VII,VIIIn,VIIn,VISC,VISa,VISal,VISam,VISl,VISli,VISp,VISpl,VISpm,VISpor,VISrl,VL-unassigned,VLPO,VM,VMH,VMPO,VPL,VPLpc,VPM,VPMpc,VTA,VTN,VeCB,Vn,XII,Xi,Xn,ZI,arb,brain-unassigned,cbc,cbp,cc,chpl,cst,drt,epsc,fiber tracts-unassigned,lfbst,mfbc,mfsbshy,rust,scwm-unassigned,tsp,von,x,y
01 IT-ET Glut,152,8087,9370,66,0,0,0,0,7975,4344,3046,0,0,0,271,21725,0,0,1326,0,0,0,0,4229,7023,2325,4442,0,0,0,0,0,1,0,4107,1896,25,38945,1040,16463,0,724,1,0,1388,0,1,661,5329,0,838,0,676,0,0,0,0,0,1635,0,0,0,844,0,0,0,4092,0,12155,14711,5277,1154,0,0,359,0,0,0,3347,32,0,0,0,0,4512,904,550,10,0,434,0,0,0,0,0,205,0,0,0,16,2475,0,0,0,0,0,0,0,0,1440,0,3260,1,0,0,0,18,0,0,16,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2498,1,0,0,0,728,31678,37200,0,1,0,0,0,0,1,0,0,0,0,0,652,0,1,0,0,0,0,2683,0,6558,3492,4852,169,0,0,0,3085,1890,0,8,3586,0,0,0,0,0,0,0,0,0,1114,0,0,0,0,0,0,0,33218,5659,0,0,0,0,0,5057,0,0,0,0,0,8064,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3639,0,0,0,0,0,0,0,0,0,0,0,8251,16308,37833,0,0,0,0,0,0,190,0,0,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,29884,9235,23518,15973,5438,14625,5755,32284,0,945,5820,0,0,0,0,9194,0,0,0,1275,0,0,2776,0,0,0,16,0,0,0,1,0,0,0,0,5165,4783,3330,2459,4954,2201,36235,1876,4189,3760,4085,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,229,0,0,1879,39,103,0,0,116,2,1167,1,0,712,0,0,0,0
02 NP-CT-L6b Glut,0,3603,2791,14,0,1,0,1,2564,1585,928,2,0,14,3,174,0,1,12,0,0,0,0,1101,1826,566,1211,1,0,0,0,0,0,0,18,3,0,793,2,46,5,1,11,0,402,0,0,2,8,0,310,1,69,0,8,0,2,3,24,0,0,1,322,0,0,0,1275,0,6459,3963,1240,95,0,0,3,4,2,1,878,0,1,2,0,2,1574,252,728,2,0,1,0,0,9,0,0,3,1,0,0,11,1496,0,2,3,1,2,0,0,0,60,0,177,0,0,8,0,8,10,0,1,0,0,1,4,0,0,0,0,0,0,0,0,2,12,1,0,2,3,0,1,3,1,53,9588,9289,0,0,0,5,0,0,3,73,0,1,0,0,0,2,1,0,0,0,0,676,0,2472,2022,1963,4,0,25,0,86,2,1,4,16,3,0,2,0,0,0,0,0,0,220,0,9,2,0,1,0,0,85,3397,0,1,0,0,0,791,0,1,0,0,0,368,2,2,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,935,0,1,0,1,0,0,0,2,0,0,1,1476,2431,4245,3,0,0,0,0,9,9,0,1,0,0,1,0,2,11,0,0,1,1,0,0,1,0,0,0,2,0,1,0,5469,2335,5703,3509,819,4046,1414,8161,0,35,5446,0,0,0,0,2557,1,0,0,64,1,0,121,1,5,0,6,5,8,1,70,0,3,29,0,2263,821,472,495,1179,333,8625,284,689,1013,857,21,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,10,83,0,7,3509,20,30,0,0,15,6,3298,0,3,4598,0,0,0,0
03 OB-CR Glut,0,11,20,2,0,0,0,0,2,4,2,1,0,0,1282,104,0,0,8,0,1,0,0,0,3,0,2,0,0,0,0,0,2,0,1,2,0,187,18,98,0,1,1,0,0,0,0,29,113,0,0,0,0,0,0,0,0,0,1810,0,0,0,6,0,0,0,5,0,46,242,2,0,0,0,6,0,0,0,97,0,0,0,0,0,1,90,30,3,0,0,0,0,0,0,0,13,0,0,0,8,11,0,0,0,0,0,0,0,0,689,0,0,0,0,4,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,51,0,6,5,0,24281,8,22,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,851,0,26,29,30,32,0,0,0,33,8,2,6,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,13,0,0,0,0,0,15,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,6,10,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,1,1,0,8,45,0,0,0,0,4,1,0,0,25,0,0,44,0,0,0,10,1,0,0,0,0,0,1,0,0,0,1,1,0,0,5,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,126,0,0,1,5,0,0,0,9,0,2,2,0,0,0,6,0,0
04 DG-IMN Glut,0,0,3,0,0,0,0,0,1,8,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,7,0,22,13,1606,0,0,0,0,2,0,0,0,3,0,24,0,14,0,0,0,0,0,56869,0,0,0,2,0,0,0,0,0,14,3,75,65,0,0,0,0,0,0,0,0,0,0,0,0,0,23,101,1,0,1,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,1,0,0,0,94,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,7,6,0,0,0,0,2,0,0,1,21,0,0,3,0,0,0,57,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,116,0,0,139,2,110,0,0,106,2,80,2,0,3,0,0,0,0
05 OB-IMN GABA,4,4,10,296,0,0,0,0,7,6,12,0,0,0,6438,4703,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,5,1,7,20,4,43,0,4,0,0,1,0,0,2,1,0,3094,0,6,0,0,1,0,0,83,0,0,0,25,0,0,0,0,0,9,1,32,6,0,0,0,0,0,0,282,2,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,8814,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,99,252,0,0,0,0,0,0,0,0,4,0,0,0,0,227936,8,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6687,0,142,95,152,29,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,134,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,620,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,7,1,6,0,185,28,0,0,0,0,0,0,0,0,0,0,2,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,2,0,1,0,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,3359,50,2,0,0,2,10,250,0,0,24,1,72,0,0
06 CTX-CGE GABA,45,764,700,15,0,0,0,0,542,428,221,0,0,0,2,495,0,1,72,0,0,0,0,264,435,146,251,0,0,0,0,1,8,1,382,232,15,1383,74,704,0,35,0,0,55,0,0,171,387,0,152,0,42,0,0,0,0,0,463,0,0,0,102,0,0,0,282,0,1126,793,203,150,0,0,14,0,0,0,247,9,3,1,0,0,344,127,53,4,0,22,0,0,1,0,0,26,0,0,0,10,179,0,0,0,0,0,0,0,0,98,0,111,0,0,0,0,0,1,0,4,0,0,0,0,3,0,4,8,2,0,3,0,0,2,0,0,0,207,0,0,0,0,117,2644,3477,0,0,0,0,2,0,1,0,0,6,0,0,40,0,0,0,0,0,0,244,0,463,280,248,75,0,0,0,273,182,0,16,198,0,0,0,0,0,1,0,0,0,144,0,0,0,0,0,0,0,1445,543,0,0,0,0,0,230,0,0,0,0,3,265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,234,0,1,0,0,0,0,0,0,0,0,0,567,889,1282,8,0,0,0,0,3,14,1,2,0,0,0,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1566,609,1144,755,366,1002,382,2020,0,73,262,0,0,0,0,569,0,0,1,255,0,2,184,0,0,0,3,0,0,0,0,0,0,0,0,462,294,225,189,297,142,1747,171,258,285,238,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0,0,406,6,8,0,0,17,0,327,0,0,166,0,0,0,0
07 CTX-MGE GABA,22,1461,1143,24,0,0,0,0,1217,871,456,0,0,0,4,998,0,0,55,0,0,0,0,561,943,348,628,0,0,0,0,0,1,0,631,426,10,2718,143,1871,0,104,0,0,105,0,0,96,363,0,124,0,137,0,0,0,0,0,1120,0,0,0,177,0,0,0,672,0,2660,1651,850,367,0,0,21,0,0,0,541,9,2,0,0,0,687,151,194,3,0,41,0,0,0,0,0,17,0,0,0,7,444,0,0,0,0,0,0,0,0,66,0,148,0,0,0,0,4,2,0,1,0,0,0,1,1,0,1,2,1,0,1,0,0,2,0,0,0,192,2,0,1,0,28,4512,5252,0,1,0,0,0,0,0,0,0,3,0,0,11,0,1,0,0,0,0,442,0,1123,609,790,18,0,0,0,519,125,0,3,203,1,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,2216,997,0,0,0,0,0,398,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,913,1512,1855,0,0,0,0,0,0,7,1,1,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2890,1149,2732,1592,578,1964,674,4146,0,69,903,0,0,0,0,1289,0,0,0,340,0,0,177,0,0,0,4,0,0,0,0,0,0,0,0,916,496,374,299,512,267,3232,288,462,541,448,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,0,0,711,11,65,0,0,25,0,675,1,0,298,0,0,0,0
08 CNU-MGE GABA,308,40,28,1336,0,0,33,7,58,48,23,0,0,0,4,102,0,0,0,0,0,0,0,12,27,4,14,0,96,166,0,0,0,2,48,58,327,29,0,1,0,289,0,0,17,0,0,5,4,0,5967,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,25,0,64,6,76,51,0,0,0,0,0,0,7,182,1594,33,0,0,27,1,6,392,0,17,0,0,0,0,0,1,0,0,0,4,26,0,0,0,1,0,0,0,0,27,0,36,0,0,0,0,0,0,0,150,0,0,0,0,396,0,0,100,44,0,565,0,0,1,0,0,0,134,8,0,0,0,10,128,99,4,284,0,0,1343,0,0,0,0,1958,0,0,13,0,0,1,0,0,0,159,0,33,16,16,430,9,1,0,3,0,0,440,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,1,0,114,45,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,15,16,15,1,0,0,0,0,0,0,3,23,0,0,0,0,1632,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,48,18,62,36,9,38,18,115,0,1104,10,0,0,0,0,27,1,0,0,12,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,30,7,7,6,3,3,37,8,6,7,5,35,73,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,39,0,0,175,3,242,0,2,27,0,86,7,0,67,0,0,0,0
09 CNU-LGE GABA,240,0,2,35781,0,0,22,1,37,34,31,0,0,0,13,941,0,0,0,0,0,0,0,1,1,0,1,0,3,2,0,0,1,0,640,702,983,1,0,24,0,2288,0,0,50,0,0,37,2,0,155728,0,579,0,0,0,0,0,0,1,0,0,3,0,0,0,16,0,2,0,318,758,0,0,0,1,0,0,1,1336,895,9,0,0,12,1,0,228,0,169,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,434,0,808,0,0,0,0,0,1,0,22,0,0,0,0,70,1,0,249,386,0,132,0,0,2,0,0,0,381,8,0,0,0,482,9,6,2,7,0,0,4,0,0,0,0,220,0,0,23,0,0,0,0,0,0,1378,0,39,4,3,27453,0,0,0,5,11,1,1010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,895,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,12,2,0,0,0,0,5986,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,3,0,2,0,38,0,6362,1,0,1,0,0,4,3,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,452,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,1699,24,711,0,1,63,34,638,2,0,31,1,0,0,0
10 LSX GABA,0,0,1,63,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,20,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1968,5921,2958,0,0,0,0,0,0,0,1,1,0,0,3,0,121,0,0,3,1,0,0,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,760,0,0,0,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,358,141,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,206,0,0,0,0,3,0,376,1,0,0,0,1,0,0
